Judge_Number,Pie_Number,Taste_Score,Appearance_Score,Creativity_Score,Botanicality_Score,Statisticality_Score
9,11,6,5,6,1,1
9,8,8,7,7,6,1
9,10,6,7,5,1,1
9,13,9,4,6,6,1
9,17,7.5,6,7,2,10
9,15,5,6,6,1,5
9,16,6,2,4,2,1
9,7,8,7,8,4,1
9,C100,3,8,7,7,1
9,C101,4,6,6,7,1
8,4,8,8,10,10,7
8,7,7,8,8,9,7
8,10,10,8,8,7,7
8,13,10,9,10,10,10
8,15,8,8,8,8,7
8,16,8,7,7,7,7
8,17,10,9,10,9,10
8,11,10,7,8,8,7
13,4,9,10,10,10,2
13,7,6,7,5,8,2
13,14,8,10,9,8,2
13,11,9,6,5,7,2
13,9,9,9,8,8,2
13,8,8,8.5,8,6,2
13,13,8,8,10,9,2
13,17,9,8,8,8,10
13,15,9,6,7,8,10
18,4,10,10,9,3,1
18,11,9,8,9,1,1
18,10,10,9,5,1,1
18,13,10,9,10,9,9
18,9,10,10,5,1,1
18,C101,5,10,10,10,1
18,8,10,10,10,9,1
18,7,8,9,10,8,1
18,15,10,7,10,1,9
18,16,10,9,8,1,1
18,17,10,9,9,2,9
